PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner1;incremental_dlv2;26;0,11164;86772;3492
Pacman_Planner1;incremental_dlv2;27;0,115522;88104;3492
Pacman_Planner1;incremental_dlv2;28;0,118358;88696;3492
Pacman_Planner1;incremental_dlv2;29;0,123987;91712;3492
Pacman_Planner1;incremental_dlv2;30;0,128288;94180;3492
Pacman_Planner1;incremental_dlv2;31;0,126879;95384;3492
Pacman_Planner1;incremental_dlv2;32;0,108095;95432;3492
Pacman_Planner1;incremental_dlv2;33;0,109912;95464;3492
Pacman_Planner1;incremental_dlv2;34;0,121854;95488;3492
Pacman_Planner1;incremental_dlv2;35;0,113028;96004;3492
Pacman_Planner1;incremental_dlv2;36;0,109867;96016;3492
Pacman_Planner1;incremental_dlv2;37;0,114536;96280;3490
Pacman_Planner1;incremental_dlv2;38;0,124083;97488;3490
Pacman_Planner1;incremental_dlv2;39;0,124337;97944;3490
Pacman_Planner1;incremental_dlv2;40;0,127352;99384;3490
Pacman_Planner1;incremental_dlv2;41;0,118298;100548;3490
Pacman_Planner1;incremental_dlv2;42;0,130982;101112;3490
Pacman_Planner1;incremental_dlv2;43;0,13309;102012;3490
Pacman_Planner1;incremental_dlv2;44;0,115262;101996;3490
Pacman_Planner1;incremental_dlv2;45;0,11492;102028;3490
Pacman_Planner1;incremental_dlv2;46;0,116027;102044;3490
Pacman_Planner1;incremental_dlv2;47;0,121149;102348;3490
Pacman_Planner1;incremental_dlv2;48;0,11898;102384;3490
Pacman_Planner2;incremental_dlv2;0;0,917873;134624;4160
Pacman_Planner2;incremental_dlv2;1;0,128031;132832;4160
Pacman_Planner2;incremental_dlv2;2;0,158159;129248;4158
Pacman_Planner2;incremental_dlv2;3;0,161079;134064;4152
Pacman_Planner2;incremental_dlv2;4;0,158505;134320;4148
Pacman_Planner2;incremental_dlv2;5;0,17035;129460;4140
Pacman_Planner2;incremental_dlv2;6;0,198232;141908;4136
Pacman_Planner2;incremental_dlv2;7;0,204012;152660;4128
Pacman_Planner2;incremental_dlv2;8;0,180215;143700;4128
Pacman_Planner2;incremental_dlv2;9;0,187743;144288;4128
Pacman_Planner2;incremental_dlv2;10;0,190022;145312;4128
Pacman_Planner2;incremental_dlv2;11;0,191763;145508;4128
Pacman_Planner2;incremental_dlv2;12;0,20904;146532;4126
Pacman_Planner2;incremental_dlv2;13;0,210379;147972;4114
Pacman_Planner2;incremental_dlv2;14;0,211096;148676;4106
Pacman_Planner2;incremental_dlv2;15;0,235746;155088;4094
Pacman_Planner2;incremental_dlv2;16;0,211109;157048;4092
Pacman_Planner2;incremental_dlv2;17;0,212739;159780;4092
Pacman_Planner2;incremental_dlv2;18;0,207363;168648;4092
Pacman_Planner2;incremental_dlv2;19;0,202179;168936;4092
