PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner1;incremental_dlv2;28;0,122298;88112;3492
Pacman_Planner1;incremental_dlv2;29;0,124117;88832;3492
Pacman_Planner1;incremental_dlv2;30;0,131798;91716;3492
Pacman_Planner1;incremental_dlv2;31;0,13081;94188;3492
Pacman_Planner1;incremental_dlv2;32;0,132446;95392;3492
Pacman_Planner1;incremental_dlv2;33;0,119568;95440;3492
Pacman_Planner1;incremental_dlv2;34;0,115756;95472;3492
Pacman_Planner1;incremental_dlv2;35;0,129904;95492;3492
Pacman_Planner1;incremental_dlv2;36;0,125975;96012;3492
Pacman_Planner1;incremental_dlv2;37;0,118532;95988;3492
Pacman_Planner1;incremental_dlv2;38;0,12804;96252;3490
Pacman_Planner1;incremental_dlv2;39;0,144427;97492;3490
Pacman_Planner1;incremental_dlv2;40;0,149574;97920;3490
Pacman_Planner1;incremental_dlv2;41;0,144535;99388;3490
Pacman_Planner1;incremental_dlv2;42;0,136945;100556;3490
Pacman_Planner1;incremental_dlv2;43;0,143938;101116;3490
Pacman_Planner1;incremental_dlv2;44;0,147066;102020;3490
Pacman_Planner1;incremental_dlv2;45;0,142156;102000;3490
Pacman_Planner1;incremental_dlv2;46;0,141381;102004;3490
Pacman_Planner1;incremental_dlv2;47;0,13027;102084;3490
Pacman_Planner1;incremental_dlv2;48;0,138273;102388;3490
Pacman_Planner1;incremental_dlv2;49;0,138049;102392;3490
Pacman_Planner2;incremental_dlv2;1;0,478626;81840;4160
Pacman_Planner2;incremental_dlv2;2;0,065379;85456;4160
Pacman_Planner2;incremental_dlv2;3;0,091088;85128;4158
Pacman_Planner2;incremental_dlv2;4;0,089263;87192;4152
Pacman_Planner2;incremental_dlv2;5;0,082831;87668;4148
Pacman_Planner2;incremental_dlv2;6;0,08696;88192;4140
Pacman_Planner2;incremental_dlv2;7;0,112222;93888;4136
Pacman_Planner2;incremental_dlv2;8;0,093933;94852;4128
Pacman_Planner2;incremental_dlv2;9;0,091146;94956;4128
Pacman_Planner2;incremental_dlv2;10;0,088595;95148;4128
Pacman_Planner2;incremental_dlv2;11;0,085494;95296;4128
Pacman_Planner2;incremental_dlv2;12;0,087778;95932;4128
Pacman_Planner2;incremental_dlv2;13;0,088816;96164;4126
Pacman_Planner2;incremental_dlv2;14;0,097051;97892;4114
Pacman_Planner2;incremental_dlv2;15;0,092066;98440;4106
Pacman_Planner2;incremental_dlv2;16;0,128432;104580;4094
Pacman_Planner2;incremental_dlv2;17;0,105649;105440;4092
Pacman_Planner2;incremental_dlv2;18;0,105321;106160;4092
Pacman_Planner2;incremental_dlv2;19;0,103244;106840;4092
Pacman_Planner2;incremental_dlv2;20;0,108379;106688;4092
Pacman_Planner2;incremental_dlv2;21;0,101205;107956;4092
Pacman_Planner2;incremental_dlv2;22;0,104976;108964;4090
Pacman_Planner2;incremental_dlv2;23;0,103581;109544;4090
Pacman_Planner2;incremental_dlv2;24;0,114841;110452;4090
Pacman_Planner2;incremental_dlv2;25;0,117472;115088;4090
Pacman_Planner2;incremental_dlv2;26;0,102319;115116;4090
Pacman_Planner2;incremental_dlv2;27;0,09977;111596;4090
Pacman_Planner2;incremental_dlv2;28;0,108871;111812;4090
Pacman_Planner2;incremental_dlv2;29;0,106876;112088;4090
Pacman_Planner2;incremental_dlv2;30;0,111819;115796;4088
Pacman_Planner2;incremental_dlv2;31;0,102673;115800;4082
Pacman_Planner2;incremental_dlv2;32;0,115465;116264;4080
Pacman_Planner2;incremental_dlv2;33;0,106027;112884;4072
Pacman_Planner2;incremental_dlv2;34;0,122876;116632;4064
Pacman_Planner2;incremental_dlv2;35;0,104263;113120;4064
Pacman_Planner2;incremental_dlv2;36;0,11192;113840;4064
Pacman_Planner2;incremental_dlv2;37;0,112918;114660;4052
Pacman_Planner2;incremental_dlv2;38;0,121926;117100;4046
Pacman_Planner2;incremental_dlv2;39;0,142615;121008;4038
Pacman_Planner2;incremental_dlv2;40;0,13666;124228;4030
Pacman_Planner2;incremental_dlv2;41;0,131012;124960;4022
Pacman_Planner2;incremental_dlv2;42;0,156817;131544;4004
Pacman_Planner2;incremental_dlv2;43;0,156207;133672;3988
Pacman_Planner2;incremental_dlv2;44;0,162257;136204;3980
Pacman_Planner2;incremental_dlv2;45;0,16357;138620;3970
Pacman_Planner2;incremental_dlv2;46;0,168232;139864;3960
Pacman_Planner2;incremental_dlv2;47;0,167453;139880;3952
Pacman_Planner2;incremental_dlv2;48;0,170815;140408;3950
Pacman_Planner2;incremental_dlv2;49;0,157545;140412;3950
Pacman_Planner2;incremental_dlv2;50;0,165708;141352;3940
Pacman_Planner2;incremental_dlv2;51;0,17192;142968;3932
Pacman_Planner2;incremental_dlv2;52;0,169814;144240;3932
Pacman_Planner2;incremental_dlv2;53;0,161297;144244;3932
Pacman_Planner2;incremental_dlv2;54;0,159144;144244;3932
Pacman_Planner2;incremental_dlv2;55;0,175604;144612;3932
Pacman_Planner2;incremental_dlv2;56;0,178011;144936;3932
Pacman_Planner3;incremental_dlv2;1;0,073632;29280;4160
Pacman_Planner3;incremental_dlv2;2;0,028354;30324;4160
Pacman_Planner3;incremental_dlv2;3;0,02746;32364;4160
Pacman_Planner3;incremental_dlv2;4;0,027402;31868;4160
Pacman_Planner3;incremental_dlv2;5;0,027102;31872;4160
