PROBLEM;BINARY;ITERATION;TIME;MEMORY;SENSORS_NUMBER
Pacman_Planner1;dlv2;36;0,43;1012;3492
Pacman_Planner1;dlv2;37;0,42;1012;3492
Pacman_Planner1;dlv2;38;0,42;1012;3490
Pacman_Planner1;dlv2;39;0,42;1012;3490
Pacman_Planner1;dlv2;40;0,43;1012;3490
Pacman_Planner1;dlv2;41;0,42;1012;3490
Pacman_Planner1;dlv2;42;0,41;1016;3490
Pacman_Planner1;dlv2;43;0,43;1012;3490
Pacman_Planner1;dlv2;44;0,43;1016;3490
Pacman_Planner1;dlv2;45;0,42;1016;3490
Pacman_Planner1;dlv2;46;0,41;1016;3490
Pacman_Planner1;dlv2;47;0,45;1012;3490
Pacman_Planner1;dlv2;48;0,42;1012;3490
Pacman_Planner1;dlv2;49;0,45;1012;3490
Pacman_Planner2;dlv2;1;0,78;1012;4160
Pacman_Planner2;dlv2;2;0,77;1012;4160
Pacman_Planner2;dlv2;3;0,78;1012;4158
Pacman_Planner2;dlv2;4;0,78;1012;4152
Pacman_Planner2;dlv2;5;0,8;1016;4148
Pacman_Planner2;dlv2;6;0,8;1012;4140
Pacman_Planner2;dlv2;7;0,79;1012;4136
Pacman_Planner2;dlv2;8;0,81;1012;4128
Pacman_Planner2;dlv2;9;0,79;1016;4128
Pacman_Planner2;dlv2;10;0,81;1012;4128
Pacman_Planner2;dlv2;11;0,78;1012;4128
Pacman_Planner2;dlv2;12;0,77;1012;4128
Pacman_Planner2;dlv2;13;0,78;1012;4126
Pacman_Planner2;dlv2;14;0,81;1012;4114
Pacman_Planner2;dlv2;15;0,78;1012;4106
Pacman_Planner2;dlv2;16;0,78;1012;4094
Pacman_Planner2;dlv2;17;0,78;1016;4092
Pacman_Planner2;dlv2;18;0,8;1012;4092
Pacman_Planner2;dlv2;19;0,78;1016;4092
Pacman_Planner2;dlv2;20;0,81;1012;4092
Pacman_Planner2;dlv2;21;0,79;1012;4092
Pacman_Planner2;dlv2;22;0,78;1016;4090
Pacman_Planner2;dlv2;23;0,75;1012;4090
Pacman_Planner2;dlv2;24;0,81;1012;4090
Pacman_Planner2;dlv2;25;0,79;1016;4090
Pacman_Planner2;dlv2;26;0,78;1016;4090
Pacman_Planner2;dlv2;27;0,79;1016;4090
Pacman_Planner2;dlv2;28;0,78;1012;4090
Pacman_Planner2;dlv2;29;0,78;1016;4090
Pacman_Planner2;dlv2;30;0,81;1012;4088
Pacman_Planner2;dlv2;31;0,78;1016;4082
Pacman_Planner2;dlv2;32;0,81;1012;4080
Pacman_Planner2;dlv2;33;0,78;1016;4072
Pacman_Planner2;dlv2;34;0,78;1016;4064
Pacman_Planner2;dlv2;35;0,8;1012;4064
Pacman_Planner2;dlv2;36;0,76;1012;4064
Pacman_Planner2;dlv2;37;0,78;1012;4052
Pacman_Planner2;dlv2;38;0,8;1016;4046
Pacman_Planner2;dlv2;39;0,8;1012;4038
Pacman_Planner2;dlv2;40;0,8;1012;4030
Pacman_Planner2;dlv2;41;0,81;1016;4022
Pacman_Planner2;dlv2;42;0,78;1012;4004
Pacman_Planner2;dlv2;43;0,79;1016;3988
Pacman_Planner2;dlv2;44;0,79;1012;3980
Pacman_Planner2;dlv2;45;0,8;1016;3970
Pacman_Planner2;dlv2;46;0,78;1012;3960
Pacman_Planner2;dlv2;47;0,78;1012;3952
Pacman_Planner2;dlv2;48;0,78;1012;3950
Pacman_Planner2;dlv2;49;0,8;1012;3950
Pacman_Planner2;dlv2;50;0,77;1012;3940
Pacman_Planner2;dlv2;51;0,77;1012;3932
Pacman_Planner2;dlv2;52;0,78;1012;3932
Pacman_Planner2;dlv2;53;0,78;1012;3932
Pacman_Planner2;dlv2;54;0,79;1012;3932
Pacman_Planner2;dlv2;55;0,78;1012;3932
Pacman_Planner2;dlv2;56;0,77;1016;3932
Pacman_Planner3;dlv2;1;0,12;1012;4160
Pacman_Planner3;dlv2;2;0,11;1016;4160
Pacman_Planner3;dlv2;3;0,12;1016;4160
Pacman_Planner3;dlv2;4;0,12;1012;4160
Pacman_Planner3;dlv2;5;0,12;1016;4160
Pacman_Planner3;dlv2;6;0,12;1012;4158
Pacman_Planner3;dlv2;7;0,12;1016;4156
Pacman_Planner3;dlv2;8;0,11;1016;4154
Pacman_Planner3;dlv2;9;0,12;1012;4152
