ENCODING;ITERATION;SENSORS_NUMBER
Pacman_Planner3;38;4108
Pacman_Planner3;39;4108
Pacman_Planner3;40;4106
Pacman_Planner3;41;4104
Pacman_Planner3;42;4102
Pacman_Planner3;43;4100
Pacman_Planner3;44;4098
Pacman_Planner3;45;4096
Pacman_Planner3;46;4094
Pacman_Planner3;47;4092
Pacman_Planner3;48;4090
Pacman_Planner3;49;4088
Pacman_Planner3;50;4086
Pacman_Planner3;51;4084
Pacman_Planner3;52;4082
Pacman_Planner3;53;4080
Pacman_Planner3;54;4078
Pacman_Planner3;55;4076
Pacman_Planner3;56;4074
Pacman_Planner3;57;4072
Pacman_Planner3;58;4070
Pacman_Planner3;59;4068
Pacman_Planner3;60;4066
Pacman_Planner3;61;4064
Pacman_Planner3;62;4062
Pacman_Planner3;63;4060
Pacman_Planner3;64;4058
Pacman_Planner3;65;4058
Pacman_Planner3;66;4058
Pacman_Planner3;67;4056
Pacman_Planner3;68;4054
Pacman_Planner3;69;4052
Pacman_Planner3;70;4052
Pacman_Planner3;71;4046
Pacman_Planner3;72;4044
Pacman_Planner3;73;4042
Space_Invaders_Planner1;1;8
Space_Invaders_Planner1;2;8
Space_Invaders_Planner1;3;8
Space_Invaders_Planner1;4;8
Space_Invaders_Planner1;5;8
Space_Invaders_Planner1;6;8
Space_Invaders_Planner1;7;8
Space_Invaders_Planner1;8;8
Space_Invaders_Planner1;9;8
Space_Invaders_Planner1;10;8
Space_Invaders_Planner1;11;8
Space_Invaders_Planner1;12;8
Space_Invaders_Planner1;13;8
Space_Invaders_Planner1;14;8
Space_Invaders_Planner1;15;8
Space_Invaders_Planner1;16;8
Space_Invaders_Planner1;17;8
Space_Invaders_Planner1;18;8
Space_Invaders_Planner1;19;8
Space_Invaders_Planner1;20;4
Space_Invaders_Planner1;21;8
Space_Invaders_Planner1;22;8
Space_Invaders_Planner1;23;8
Space_Invaders_Planner1;24;8
Space_Invaders_Planner1;25;8
Space_Invaders_Planner1;26;8
Space_Invaders_Planner1;27;8
Space_Invaders_Planner1;28;8
Space_Invaders_Planner1;29;8
Space_Invaders_Planner1;30;8
Space_Invaders_Planner1;31;8
Space_Invaders_Planner1;32;8
Space_Invaders_Planner1;33;8
Space_Invaders_Planner1;34;8
Space_Invaders_Planner1;35;8
Space_Invaders_Planner1;36;8
Space_Invaders_Planner1;37;8
Space_Invaders_Planner1;38;8
Space_Invaders_Planner1;39;8
Space_Invaders_Planner1;40;8
Space_Invaders_Planner1;41;8
Space_Invaders_Planner1;42;8
Space_Invaders_Planner2;1;124
Space_Invaders_Planner2;2;124
Space_Invaders_Planner2;3;124
Space_Invaders_Planner2;4;127
Space_Invaders_Planner2;5;127
Space_Invaders_Planner2;6;127
Space_Invaders_Planner2;7;127
Space_Invaders_Planner2;8;127
Space_Invaders_Planner2;9;122
Space_Invaders_Planner2;10;122
